x y z strike dip rake shear normal coulomb
(km) (km) (km) (deg) (deg) (deg) (bar) (bar) (bar)
  -95.0000   30.0000  -10.0000   30.0  90.0   180.0    0.0177    0.0264    0.0282
  -95.0000   35.0000  -10.0000   30.0  90.0   180.0    0.0209    0.0208    0.0292
  -95.0000   40.0000  -10.0000   30.0  90.0   180.0    0.0231    0.0149    0.0290
  -95.0000   45.0000  -10.0000   30.0  90.0   180.0    0.0242    0.0088    0.0278
  -95.0000   50.0000  -10.0000   30.0  90.0   180.0    0.0245    0.0029    0.0257
  -95.0000   55.0000  -10.0000   30.0  90.0   180.0    0.0240   -0.0027    0.0229
  -95.0000   60.0000  -10.0000   30.0  90.0   180.0    0.0228   -0.0078    0.0197
  -95.0000   65.0000  -10.0000   30.0  90.0   180.0    0.0211   -0.0123    0.0162
  -95.0000   70.0000  -10.0000   30.0  90.0   180.0    0.0191   -0.0161    0.0126
  -95.0000   75.0000  -10.0000   30.0  90.0   180.0    0.0168   -0.0193    0.0091
  -95.0000   80.0000  -10.0000   30.0  90.0   180.0    0.0145   -0.0218    0.0058
  -95.0000   85.0000  -10.0000   30.0  90.0   180.0    0.0121   -0.0238    0.0026
  -95.0000   90.0000  -10.0000   30.0  90.0   180.0    0.0098   -0.0251   -0.0002
  -95.0000   95.0000  -10.0000   30.0  90.0   180.0    0.0076   -0.0260   -0.0028
  -95.0000  100.0000  -10.0000   30.0  90.0   180.0    0.0056   -0.0265   -0.0050
  -90.0000 -100.0000  -10.0000   30.0  90.0   180.0    0.0171   -0.0049    0.0151
  -90.0000  -95.0000  -10.0000   30.0  90.0   180.0    0.0174   -0.0061    0.0149
  -90.0000  -90.0000  -10.0000   30.0  90.0   180.0    0.0174   -0.0075    0.0144
  -90.0000  -85.0000  -10.0000   30.0  90.0   180.0    0.0171   -0.0090    0.0135
  -90.0000  -80.0000  -10.0000   30.0  90.0   180.0    0.0163   -0.0105    0.0121
  -90.0000  -75.0000  -10.0000   30.0  90.0   180.0    0.0150   -0.0119    0.0103
  -90.0000  -70.0000  -10.0000   30.0  90.0   180.0    0.0131   -0.0132    0.0079
  -90.0000  -65.0000  -10.0000   30.0  90.0   180.0    0.0106   -0.0142    0.0050
  -90.0000  -60.0000  -10.0000   30.0  90.0   180.0    0.0075   -0.0147    0.0016
  -90.0000  -55.0000  -10.0000   30.0  90.0   180.0    0.0038   -0.0146   -0.0021
  -90.0000  -50.0000  -10.0000   30.0  90.0   180.0   -0.0005   -0.0137   -0.0060
  -90.0000  -45.0000  -10.0000   30.0  90.0   180.0   -0.0050   -0.0119   -0.0098
  -90.0000  -40.0000  -10.0000   30.0  90.0   180.0   -0.0096   -0.0090   -0.0132
  -90.0000  -35.0000  -10.0000   30.0  90.0   180.0   -0.0140   -0.0050   -0.0160
  -90.0000  -30.0000  -10.0000   30.0  90.0   180.0   -0.0177    0.0001   -0.0177
  -90.0000  -25.0000  -10.0000   30.0  90.0   180.0   -0.0205    0.0060   -0.0181
  -90.0000  -20.0000  -10.0000   30.0  90.0   180.0   -0.0220    0.0126   -0.0170
  -90.0000  -15.0000  -10.0000   30.0  90.0   180.0   -0.0220    0.0192   -0.0143
  -90.0000  -10.0000  -10.0000   30.0  90.0   180.0   -0.0203    0.0256   -0.0100
  -90.0000   -5.0000  -10.0000   30.0  90.0   180.0   -0.0170    0.0311   -0.0046
  -90.0000    0.0000  -10.0000   30.0  90.0   180.0   -0.0124    0.0354    0.0018
  -90.0000    5.0000  -10.0000   30.0  90.0   180.0   -0.0067    0.0380    0.0085
  -90.0000   10.0000  -10.0000   30.0  90.0   180.0   -0.0004    0.0387    0.0150
  -90.0000   15.0000  -10.0000   30.0  90.0   180.0    0.0059    0.0376    0.0210
  -90.0000   20.0000  -10.0000   30.0  90.0   180.0    0.0119    0.0347    0.0258
  -90.0000   25.0000  -10.0000   30.0  90.0   180.0    0.0172    0.0303    0.0293
  -90.0000   30.0000  -10.0000   30.0  90.0   180.0    0.0215    0.0247    0.0314
  -90.0000   35.0000  -10.0000   30.0  90.0   180.0    0.0246    0.0184    0.0320
  -90.0000   40.0000  -10.0000   30.0  90.0   180.0    0.0266    0.0116    0.0312
  -90.0000   45.0000  -10.0000   30.0  90.0   180.0    0.0274    0.0049    0.0293
  -90.0000   50.0000  -10.0000   30.0  90.0   180.0    0.0271   -0.0016    0.0265
  -90.0000   55.0000  -10.0000   30.0  90.0   180.0    0.0260   -0.0076    0.0230
  -90.0000   60.0000  -10.0000   30.0  90.0   180.0    0.0242   -0.0129    0.0191
  -90.0000   65.0000  -10.0000   30.0  90.0   180.0    0.0220   -0.0174    0.0150
  -90.0000   70.0000  -10.0000   30.0  90.0   180.0    0.0194   -0.0212    0.0109
  -90.0000   75.0000  -10.0000   30.0  90.0   180.0    0.0167   -0.0242    0.0070
  -90.0000   80.0000  -10.0000   30.0  90.0   180.0    0.0139   -0.0265    0.0033
  -90.0000   85.0000  -10.0000   30.0  90.0   180.0    0.0112   -0.0282   -0.0001
  -90.0000   90.0000  -10.0000   30.0  90.0   180.0    0.0086   -0.0292   -0.0031
  -90.0000   95.0000  -10.0000   30.0  90.0   180.0    0.0062   -0.0298   -0.0057
  -90.0000  100.0000  -10.0000   30.0  90.0   180.0    0.0040   -0.0299   -0.0079
  -85.0000 -100.0000  -10.0000   30.0  90.0   180.0    0.0188   -0.0039    0.0173
  -85.0000  -95.0000  -10.0000   30.0  90.0   180.0    0.0195   -0.0052    0.0174
  -85.0000  -90.0000  -10.0000   30.0  90.0   180.0    0.0200   -0.0068    0.0173
  -85.0000  -85.0000  -10.0000   30.0  90.0   180.0    0.0200   -0.0085    0.0166
  -85.0000  -80.0000  -10.0000   30.0  90.0   180.0    0.0196   -0.0103    0.0155
  -85.0000  -75.0000  -10.0000   30.0  90.0   180.0    0.0187   -0.0121    0.0139
  -85.0000  -70.0000  -10.0000   30.0  90.0   180.0    0.0171   -0.0138    0.0116
  -85.0000  -65.0000  -10.0000   30.0  90.0   180.0    0.0148   -0.0153    0.0087
  -85.0000  -60.0000  -10.0000   30.0  90.0   180.0    0.0118   -0.0164    0.0052
  -85.0000  -55.0000  -10.0000   30.0  90.0   180.0    0.0079   -0.0169    0.0012
  -85.0000  -50.0000  -10.0000   30.0  90.0   180.0    0.0035   -0.0166   -0.0031
  -85.0000  -45.0000  -10.0000   30.0  90.0   180.0   -0.0015   -0.0152   -0.0076
  -85.0000  -40.0000  -10.0000   30.0  90.0   180.0   -0.0067   -0.0126   -0.0117
  -85.0000  -35.0000  -10.0000   30.0  90.0   180.0   -0.0117   -0.0087   -0.0152
  -85.0000  -30.0000  -10.0000   30.0  90.0   180.0   -0.0162   -0.0035   -0.0176
  -85.0000  -25.0000  -10.0000   30.0  90.0   180.0   -0.0196    0.0028   -0.0185
  -85.0000  -20.0000  -10.0000   30.0  90.0   180.0   -0.0216    0.0100   -0.0176
  -85.0000  -15.0000  -10.0000   30.0  90.0   180.0   -0.0218    0.0174   -0.0148
  -85.0000  -10.0000  -10.0000   30.0  90.0   180.0   -0.0200    0.0246   -0.0102
  -85.0000   -5.0000  -10.0000   30.0  90.0   180.0   -0.0164    0.0308   -0.0041
  -85.0000    0.0000  -10.0000   30.0  90.0   180.0   -0.0112    0.0356    0.0031
  -85.0000    5.0000  -10.0000   30.0  90.0   180.0   -0.0048    0.0385    0.0106
  -85.0000   10.0000  -10.0000   30.0  90.0   180.0    0.0023    0.0391    0.0179
  -85.0000   15.0000  -10.0000   30.0  90.0   180.0    0.0094    0.0376    0.0244
  -85.0000   20.0000  -10.0000   30.0  90.0   180.0    0.0159    0.0340    0.0295
  -85.0000   25.0000  -10.0000   30.0  90.0   180.0    0.0215    0.0288    0.0330
  -85.0000   30.0000  -10.0000   30.0  90.0   180.0    0.0259    0.0222    0.0348
  -85.0000   35.0000  -10.0000   30.0  90.0   180.0    0.0288    0.0150    0.0348
  -85.0000   40.0000  -10.0000   30.0  90.0   180.0    0.0304    0.0074    0.0333
  -85.0000   45.0000  -10.0000   30.0  90.0   180.0    0.0306   -0.0000    0.0306
  -85.0000   50.0000  -10.0000   30.0  90.0   180.0    0.0296   -0.0070    0.0268
  -85.0000   55.0000  -10.0000   30.0  90.0   180.0    0.0278   -0.0133    0.0225
  -85.0000   60.0000  -10.0000   30.0  90.0   180.0    0.0253   -0.0187    0.0178
  -85.0000   65.0000  -10.0000   30.0  90.0   180.0    0.0224   -0.0233    0.0131
  -85.0000   70.0000  -10.0000   30.0  90.0   180.0    0.0192   -0.0269    0.0085
  -85.0000   75.0000  -10.0000   30.0  90.0   180.0    0.0160   -0.0297    0.0041
  -85.0000   80.0000  -10.0000   30.0  90.0   180.0    0.0128   -0.0316    0.0001
  -85.0000   85.0000  -10.0000   30.0  90.0   180.0    0.0097   -0.0329   -0.0034
  -85.0000   90.0000  -10.0000   30.0  90.0   180.0    0.0069   -0.0335   -0.0065
  -85.0000   95.0000  -10.0000   30.0  90.0   180.0    0.0044   -0.0337   -0.0091
  -85.0000  100.0000  -10.0000   30.0  90.0   180.0    0.0021   -0.0334   -0.0113
  -80.0000 -100.0000  -10.0000   30.0  90.0   180.0    0.0204   -0.0025    0.0194
  -80.0000  -95.0000  -10.0000   30.0  90.0   180.0    0.0216   -0.0039    0.0200
  -80.0000  -90.0000  -10.0000   30.0  90.0   180.0    0.0224   -0.0056    0.0202
  -80.0000  -85.0000  -10.0000   30.0  90.0   180.0    0.0230   -0.0074    0.0200
  -80.0000  -80.0000  -10.0000   30.0  90.0   180.0    0.0231   -0.0095    0.0193
  -80.0000  -75.0000  -10.0000   30.0  90.0   180.0    0.0226   -0.0117    0.0180
  -80.0000  -70.0000  -10.0000   30.0  90.0   180.0    0.0215   -0.0138    0.0160
  -80.0000  -65.0000  -10.0000   30.0  90.0   180.0    0.0196   -0.0159    0.0132
  -80.0000  -60.0000  -10.0000   30.0  90.0   180.0    0.0167   -0.0177    0.0096
  -80.0000  -55.0000  -10.0000   30.0  90.0   180.0    0.0130   -0.0189    0.0054
  -80.0000  -50.0000  -10.0000   30.0  90.0   180.0    0.0084   -0.0193    0.0007
  -80.0000  -45.0000  -10.0000   30.0  90.0   180.0    0.0031   -0.0186   -0.0044
  -80.0000  -40.0000  -10.0000   30.0  90.0   180.0   -0.0027   -0.0166   -0.0093
  -80.0000  -35.0000  -10.0000   30.0  90.0   180.0   -0.0084   -0.0130   -0.0136
  -80.0000  -30.0000  -10.0000   30.0  90.0   180.0   -0.0137   -0.0077   -0.0168
  -80.0000  -25.0000  -10.0000   30.0  90.0   180.0   -0.0179   -0.0011   -0.0183
  -80.0000  -20.0000  -10.0000   30.0  90.0   180.0   -0.0205    0.0067   -0.0178
  -80.0000  -15.0000  -10.0000   30.0  90.0   180.0   -0.0210    0.0149   -0.0150
  -80.0000  -10.0000  -10.0000   30.0  90.0   180.0   -0.0192    0.0230   -0.0101
  -80.0000   -5.0000  -10.0000   30.0  90.0   180.0   -0.0153    0.0300   -0.0032
  -80.0000    0.0000  -10.0000   30.0  90.0   180.0   -0.0094    0.0354    0.0048
  -80.0000    5.0000  -10.0000   30.0  90.0   180.0   -0.0021    0.0385    0.0133
  -80.0000   10.0000  -10.0000   30.0  90.0   180.0    0.0058    0.0390    0.0214
  -80.0000   15.0000  -10.0000   30.0  90.0   180.0    0.0137    0.0369    0.0284
  -80.0000   20.0000  -10.0000   30.0  90.0   180.0    0.0208    0.0326    0.0338
  -80.0000   25.0000  -10.0000   30.0  90.0   180.0    0.0266    0.0263    0.0371
